Data,Id_Marketing,Impressoes,Cliques,Custo,CTR,CPC
2024-01-01,1,4761,136,370.52,0.02856542743121193,2.724411764705882
2024-01-01,3,9356,157,301.87,0.016780675502351433,1.9227388535031849
2024-01-01,4,5575,72,102.44,0.012914798206278028,1.4227777777777777
2024-01-02,1,9733,249,745.14,0.025583067913284702,2.9925301204819275
2024-01-02,3,6986,117,215.98,0.01674778127683939,1.8459829059829058
2024-01-02,4,6194,82,110.29,0.013238618017436228,1.345
2024-01-03,1,9115,207,566.53,0.022709818979703787,2.7368599033816423
2024-01-03,3,8599,133,260.96,0.015466914757529945,1.9621052631578946
2024-01-03,4,7669,105,145.69,0.013691485200156474,1.3875238095238096
2024-01-04,1,10670,265,757.11,0.02483598875351453,2.8570188679245283
2024-01-04,3,11046,206,362.3,0.018649284808980628,1.7587378640776699
2024-01-04,4,6424,78,95.24,0.012141967621419676,1.221025641025641
2024-01-05,1,12019,336,957.65,0.027955736750145604,2.8501488095238097
2024-01-05,3,12713,248,412.31,0.0195075906552348,1.6625403225806452
2024-01-05,4,6953,99,141.55,0.014238458219473608,1.4297979797979798
2024-01-06,1,14145,303,827.92,0.02142099681866384,2.7324092409240923
2024-01-06,3,12962,279,474.36,0.021524456102453324,1.7002150537634408
2024-01-06,4,11736,179,256.62,0.01525221540558964,1.4336312849162012
2024-01-07,1,16830,472,1438.93,0.028045157456922164,3.0485805084745765
2024-01-07,3,13852,268,453.11,0.019347386658966213,1.6907089552238805
2024-01-07,4,8074,131,190.37,0.016224919494674264,1.453206106870229
2024-01-08,1,14218,379,1142.23,0.02665635110423407,3.0137994722955144
2024-01-08,3,7563,128,224.79,0.01692450085944731,1.756171875
2024-01-08,4,8944,133,188.29,0.014870304114490161,1.4157142857142857
2024-01-09,1,12628,318,914.2,0.0251821349382325,2.874842767295598
2024-01-09,3,8988,164,312.22,0.01824655095683133,1.9037804878048783
2024-01-09,4,7806,119,169.99,0.015244683576735845,1.4284873949579833
2024-01-10,1,12261,262,663.52,0.02136856700106027,2.532519083969466
2024-01-10,3,13586,240,402.79,0.017665243633151775,1.6782916666666667
2024-01-10,4,8297,130,197.11,0.015668313848378933,1.5162307692307693
2024-01-11,1,14315,336,946.47,0.0234718826405868,2.816875
2024-01-11,3,11503,175,297.63,0.0152134225854125,1.7007428571428571
2024-01-11,4,9481,127,172.91,0.013395211475582744,1.361496062992126
2024-01-12,1,15381,344,884.91,0.022365255835121254,2.5724127906976744
2024-01-12,3,10362,181,322.25,0.01746767033391237,1.7803867403314917
2024-01-12,4,10085,151,226.19,0.014972731779871096,1.4979470198675497
2024-01-13,1,18010,418,1254.56,0.023209328151027206,3.0013397129186603
2024-01-13,3,16468,280,509.34,0.017002671848433324,1.8190714285714285
2024-01-13,4,10527,164,236.99,0.015578987365821221,1.445060975609756
2024-01-14,1,11346,289,725.1,0.025471531817380575,2.5089965397923875
2024-01-14,3,14233,238,439.3,0.016721703084381367,1.8457983193277312
2024-01-14,4,10466,176,250.98,0.016816357729791707,1.4260227272727273
2024-01-15,1,10391,300,787.6,0.028871138485227602,2.6253333333333333
2024-01-15,3,10387,199,365.29,0.01915856358910176,1.8356281407035178
2024-01-15,4,8458,121,166.21,0.014305982501773468,1.3736363636363638
2024-01-16,1,11749,295,771.06,0.025108519874031832,2.6137627118644065
2024-01-16,3,13611,259,515.49,0.01902872676511645,1.9903088803088804
2024-01-16,4,7401,114,173.35,0.015403323875152006,1.5206140350877193
2024-01-17,1,13453,331,991.21,0.02460417750687579,2.994592145015106
2024-01-17,3,10571,218,408.8,0.020622457667202724,1.8752293577981651
2024-01-17,4,9232,151,222.1,0.016356152512998268,1.4708609271523179
2024-01-18,1,10970,274,823.68,0.02497721057429353,3.0061313868613135
2024-01-18,3,8149,151,267.93,0.018529880966989813,1.7743708609271525
2024-01-18,4,10624,133,189.14,0.012518825301204819,1.4221052631578945
2024-01-19,1,16283,405,1197.54,0.02487256648037831,2.956888888888889
2024-01-19,3,11313,226,463.05,0.019977017590382746,2.0488938053097345
2024-01-19,4,10925,140,207.47,0.012814645308924484,1.4819285714285715
2024-01-20,1,16796,421,1148.64,0.025065491783758036,2.7283610451306415
2024-01-20,3,16847,313,559.98,0.0185789754852496,1.7890734824281151
2024-01-20,4,9727,146,212.79,0.015009766628970906,1.4574657534246576
2024-01-21,1,16140,464,1196.59,0.028748451053283768,2.5788577586206896
2024-01-21,3,15312,268,516.75,0.017502612330198536,1.9281716417910448
2024-01-21,4,11261,163,258.74,0.014474735813870881,1.587361963190184
2024-01-22,1,9582,206,589.36,0.021498643289501147,2.8609708737864077
2024-01-22,3,8817,154,264.0,0.01746625836452308,1.7142857142857142
2024-01-22,4,7073,98,138.73,0.013855506857062067,1.4156122448979591
2024-01-23,1,12718,306,852.35,0.02406038685327882,2.785457516339869
2024-01-23,3,9383,194,363.98,0.020675690077800277,1.8761855670103094
2024-01-23,4,7578,123,171.61,0.01623119556611243,1.3952032520325204
2024-01-24,1,12516,258,732.45,0.020613614573346116,2.838953488372093
2024-01-24,3,9894,195,351.89,0.019708914493632504,1.8045641025641026
2024-01-24,4,7793,129,167.55,0.01655331707943026,1.2988372093023257
2024-01-25,1,9035,226,597.71,0.025013835085777533,2.6447345132743365
2024-01-25,3,6868,129,252.19,0.018782760629004077,1.9549612403100776
2024-01-25,4,8313,125,176.6,0.01503668952243474,1.4128
2024-01-26,1,9870,248,628.75,0.025126646403242147,2.535282258064516
2024-01-26,3,8877,184,370.64,0.020727723329953814,2.0143478260869565
2024-01-26,4,8900,154,215.34,0.017303370786516854,1.3983116883116884
2024-01-27,1,11281,282,751.51,0.02499778388440741,2.6649290780141843
2024-01-27,3,10076,209,407.66,0.02074235807860262,1.9505263157894739
2024-01-27,4,8618,149,223.13,0.0172893942910188,1.49751677852349
2024-01-28,1,12091,282,714.56,0.02332313290877512,2.533900709219858
2024-01-28,3,11458,197,374.62,0.01719322743934369,1.9016243654822336
2024-01-28,4,8758,149,210.54,0.01701301667047271,1.4130201342281878
2024-01-29,1,8337,221,631.87,0.026508336332013913,2.859140271493213
2024-01-29,3,7620,150,306.77,0.01968503937007874,2.0451333333333332
2024-01-29,4,6277,107,141.44,0.01704635972598375,1.3218691588785048
2024-01-30,1,7824,199,562.67,0.025434560327198364,2.8274874371859293
2024-01-30,3,9077,155,309.9,0.017076126473504462,1.9993548387096773
2024-01-30,4,5132,84,123.59,0.01636788776305534,1.471309523809524
2024-01-31,1,8691,207,570.76,0.023817742492233344,2.7572946859903382
2024-01-31,3,8664,138,242.89,0.01592797783933518,1.7600724637681158
2024-01-31,4,7594,114,171.65,0.015011851461680274,1.505701754385965
2024-02-01,1,7813,205,568.62,0.026238320747472163,2.773756097560976
2024-02-01,3,8387,179,346.03,0.021342553952545605,1.9331284916201117
2024-02-01,4,8166,125,163.47,0.015307372030369826,1.30776
2024-02-02,1,11417,264,810.36,0.0231234124551108,3.069545454545455
2024-02-02,3,7165,120,212.78,0.01674808094905792,1.7731666666666668
2024-02-02,4,6371,102,137.58,0.016010045518756868,1.3488235294117648
2024-02-03,1,9086,182,521.43,0.020030816640986132,2.8649999999999998
2024-02-03,3,10012,214,418.64,0.021374350779065122,1.9562616822429906
2024-02-03,4,7480,106,169.04,0.014171122994652407,1.5947169811320754
2024-02-04,1,13493,361,1131.79,0.026754613503298007,3.135152354570637
2024-02-04,3,10972,217,361.6,0.01977761574917973,1.6663594470046084
2024-02-04,4,7977,138,191.16,0.017299736743136517,1.3852173913043477
2024-02-05,1,7599,171,421.82,0.02250296091590999,2.466783625730994
2024-02-05,3,9296,173,310.89,0.01861015490533563,1.7970520231213871
2024-02-05,4,5416,86,119.24,0.01587887740029542,1.3865116279069767
2024-02-06,1,12819,316,854.33,0.024650908807239254,2.703575949367089
2024-02-06,3,9720,197,377.27,0.020267489711934157,1.9150761421319795
2024-02-06,4,4780,78,115.01,0.016317991631799162,1.4744871794871794
2024-02-07,1,12978,260,724.13,0.02003390352904916,2.7851153846153847
2024-02-07,3,10300,188,319.83,0.01825242718446602,1.7012234042553191
2024-02-07,4,7509,107,151.56,0.014249567186043414,1.4164485981308412
